,church_name,address,telephone number,priest,confession,links,additional info,last update,coords,long,lat
1,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental",,,,,,"Sun May 7, 2023 10:33AM","{'lat': 10.6525017, 'lng': 122.9554831}",122.9554831,10.6525017
2,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental",,,,,,"Sun May 7, 2023 1:08AM","{'lat': 10.5977422, 'lng': 122.9603164}",122.9603164,10.5977422
3,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental",0920 577 2963,,,,,"Sun May 7, 2023 1:15AM","{'lat': 10.6738073, 'lng': 122.9649129}",122.9649129,10.6738073
4,Nuestra Señora de Salvacion Parish,"Brgy. Banago, Bacolod City, Negros Occidental",(034) 4340119,,,,,"Sun May 7, 2023 11:47AM","{'lat': 10.6937783, 'lng': 122.9537883}",122.9537883,10.6937783
5,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental",(034) 435-3065,,Thursday before First Friday: 6:00PM,,,"Sun May 7, 2023 11:50AM","{'lat': 25.3176452, 'lng': 82.9739144}",82.9739144,25.3176452
6,Our Lady of Fatima Parish,"San Sebastian - Sta. Ana Streets, Bacolod City, Negros Occidental",433-6327,,,,,"Sun May 7, 2023 11:58AM","{'lat': 10.6626694, 'lng': 122.953693}",122.953693,10.6626694
7,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental",,,,,,"Mon May 29, 2023 8:12PM","{'lat': 10.701762, 'lng': 122.971405}",122.971405,10.701762
8,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental",(034) 708 1643,,,,,"Sun May 7, 2023 10:24PM","{'lat': 10.665628, 'lng': 123.0364356}",123.0364356,10.665628
9,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental",0344337331,,,,,"Sun May 7, 2023 12:20PM","{'lat': 10.6829765, 'lng': 122.9580532}",122.9580532,10.6829765
10,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental",,,,,,"Sun May 7, 2023 3:49PM","{'lat': 10.6682158, 'lng': 122.9458295}",122.9458295,10.6682158
11,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental",,,,,,"Sun May 7, 2023 4:06PM","{'lat': 10.6830884, 'lng': 122.9707026}",122.9707026,10.6830884
12,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental",4320292,,,,,"Tue May 9, 2023 9:13PM","{'lat': 10.6781181, 'lng': 122.9604044}",122.9604044,10.6781181
13,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental",(034) 704 0778,,,,,"Sun May 7, 2023 4:26PM","{'lat': 10.6676761, 'lng': 122.9700555}",122.9700555,10.6676761
14,Our Lady of the Miraculous Medal Parish and Shrine,"Brgy. Mansilingan, Bacolod City, Negros Occidental",435-0980,,,,,"Sun May 7, 2023 8:42PM","{'lat': 10.6327078, 'lng': 122.9751476}",122.9751476,10.6327078
15,Our Lady of the Most Holy Rosary Parish and Shrine,"Brgy. Alangilan, Bacolod City, Negros Occidental",0915 088 1004,,,,,"Sun May 7, 2023 9:41AM","{'lat': 10.6713916, 'lng': 122.9511956}",122.9511956,10.6713916
16,Queen of Peace Parish,"Hilado St., Bacolod City, Negros Occidental",(034) 434 2932,,,,,"Sun May 7, 2023 8:19PM","{'lat': 10.6727239, 'lng': 122.9573809}",122.9573809,10.6727239
17,Sacred Heart Shrine (Lupit Church),"Lizares Avenue, Bacolod City, Negros Occidental",(034) 431 1317,,,,,"Sun May 7, 2023 8:38PM","{'lat': 10.6596407, 'lng': 122.946167}",122.946167,10.6596407
18,San Antonio Abad Parish,"Lacson Extension Street, Bacolod City, Negros Occidental",(034) 434-9391,,,,,"Sun May 7, 2023 8:47PM","{'lat': 10.6493866, 'lng': 122.9406303}",122.9406303,10.6493866
19,San Antonio de Padua,"Villa Angela Subd, Bacolod City, Negros Occidental",,,,,,"Sun May 7, 2023 8:56PM","{'lat': 10.6608686, 'lng': 122.9755755}",122.9755755,10.6608686
20,San Isidro Labrador Parish,"Brgy. Tangub, Bacolod City, Negros Occidental",034- 7045284,,,,,"Sun May 7, 2023 9:03PM","{'lat': 10.6359977, 'lng': 122.9302774}",122.9302774,10.6359977
21,San Sebastian Cathedral,"Cor. San Juan and Rizal Sts., Bacolod City, Negros Occidental",(034) 433 0261,,,,,"Sun Aug 6, 2023 12:24AM","{'lat': 10.6722442, 'lng': 122.9410191}",122.9410191,10.6722442
22,Shrine of Our Lady of Perpetual Help (Redemptorist Church),"Benigno Aquino Drive, Bacolod City, Negros Occidental",434-0976,,,,,"Sun May 7, 2023 9:24PM","{'lat': 10.6762785, 'lng': 122.9607705}",122.9607705,10.6762785
23,St. John the Baptist Chaplaincy,"Punta-Taytay, Bacolod City, Negros Occidental",0963 320 8213,,,,,"Sun May 7, 2023 9:34PM","{'lat': 10.5971128, 'lng': 122.9057271}",122.9057271,10.5971128
24,St. Joseph the Worker Chaplaincy,"Paglaum Village, Barangay Mansilingan, Bacolod City, Negros Occidental",,,,,,"Sun May 7, 2023 10:03PM","{'lat': 10.619041, 'lng': 123.004931}",123.004931,10.619041
25,St. Joseph The Worker Parish,"Doña Juliana Dr, Bacolod City, Negros Occidental",4345093,,,,,"Sun May 7, 2023 10:10PM","{'lat': 10.6568716, 'lng': 122.9588449}",122.9588449,10.6568716
26,"St. Joseph, Husband of Mary Chaplaincy","Mount Kanlaon St., Mountainview Subdivision, Mandalagan, Bacolod City, Negros Occidental",(034) 441-2146,,,,,"Sun May 7, 2023 9:49PM","{'lat': 10.6945317, 'lng': 122.9675501}",122.9675501,10.6945317
27,"St. Joseph, Husband of Mary Parish","Henrietta Village, Bacolod City, Negros Occidental",,,,,,"Sun May 7, 2023 9:54PM","{'lat': 10.6569043, 'lng': 122.9355635}",122.9355635,10.6569043
28,St. Juan Nepomuceno Parish,"Araneta, Street, Brgy. Sum-ag, Bacolod City, Negros Occidental",(034) 444 0311,,,,,"Sun May 7, 2023 10:16PM","{'lat': 10.601359, 'lng': 122.9194582}",122.9194582,10.601359
29,St. Jude Thaddeus Parish and Diocesan Shrine,"Barangay Alijis, Bacolod City, Negros Occidental",433-5907,,,,,"Mon May 8, 2023 12:29PM","{'lat': 10.6368241, 'lng': 122.9501488}",122.9501488,10.6368241
30,St. Matthew Chaplaincy,"Blk 5 Lot 2 San Mateo Chaplaincy, San Mateo Village, Brgy. Banago, Bacolod City, Negros Occidental",034 474-1546,,,,,"Mon May 8, 2023 5:21PM","{'lat': 10.6816036, 'lng': 122.9556291}",122.9556291,10.6816036
31,St. Therese of the Child Jesus Quasi-Parish,"Cameroli Avenue, Barangay 35, Bacolod City, Negros Occidental",(034) 433 2775,,,,,"Mon May 8, 2023 5:27PM","{'lat': 10.6658723, 'lng': 122.9344302}",122.9344302,10.6658723
32,Sto. Niño Chapel,"Lacson St., Bacolod City, Negros Occidental",,,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 10.6835278, 'lng': 122.9561194}",122.9561194,10.6835278
33,Sto. Niño Chaplaincy,"Lausanne Street, Helvetia Heights Subdivision Barangay Villamonte, Bacolod City, Negros Occidental",0991 558 5858,,,,,"Mon May 8, 2023 6:28PM","{'lat': 10.6627521, 'lng': 122.9705706}",122.9705706,10.6627521
34,Sto. Niño Parish,"Sitio Aning, Brgy. Pahanocoy, Bacolod City, Negros Occidental",468-4665,,By appointment,,,"Mon May 8, 2023 5:42PM","{'lat': 10.6124262, 'lng': 122.9241601}",122.9241601,10.6124262
35,Sto.Niño Parish and Shrine,"AB Parreno Avenue (BBB Galo), Bacolod City, Negros Occidental","(034) 474 3398, 0907 608 9475",,,,,"Sun May 21, 2023 10:56PM","{'lat': 10.6675751, 'lng': 122.9563053}",122.9563053,10.6675751
36,Triumph of the Holy Cross Parish,"Burogs Ext., Brgy. Estefania, Bacolod City, Negros Occidental",(034) 434 0364,,,,,"Mon May 8, 2023 6:00PM","{'lat': 10.670575, 'lng': 122.9846259}",122.9846259,10.670575
37,University of St. La Salle Chapel,"La Salle Avenue, Bacolod City, Negros Occidental",4321180 (local 341),,,,,"Fri Mar 22, 2013 11:58AM","{'lat': 10.6822804, 'lng': 122.9659562}",122.9659562,10.6822804
0,Adoration Convent of the Divine Mercy (Pink Sisters's Convent),"Brent Road, Baguio City, Benguet",,,,,,"Thu Jul 8, 2010 3:59AM","{'lat': 16.4115261, 'lng': 120.6036038}",120.6036038,16.4115261
1,Holy Family Parish,"Bakakeng, Baguio City, Benguet","(074) 444-3676,  0915 189 3929",,,,,"Wed Jul 12, 2023 10:21AM","{'lat': 16.3860279, 'lng': 120.5897832}",120.5897832,16.3860279
2,Immaculate Conception Parish,"Aurora Hill, Baguio City, Benguet",(074) 445 4962,,,,,"Wed Jul 12, 2023 10:28AM","{'lat': 16.4243114, 'lng': 120.6030892}",120.6030892,16.4243114
3,Our Lady of Atonement Cathedral ( Baguio Cathedral),"Kabayanihan Baranggay, Baguio City, Benguet",(074) 424 7871,,"Wed and Fri: 7:30AM, Sun: 8:30AM-9:30AM and 11:00AM-12:00NN",,,"Thu Dec 14, 2023 7:47PM","{'lat': 16.4148783, 'lng': 120.5968362}",120.5968362,16.4148783
4,Our Lady of Grace Parish,"Everlasting St., Baguio City, Benguet",442-0414,,by appointment,,,"Wed Jul 12, 2023 10:33AM","{'lat': 16.4068003, 'lng': 120.5900601}",120.5900601,16.4068003
5,Our Lady of Lourdes Church,"Kisad Road, Baguio City, Benguet",443-9332,,Approach Priest prefarably at least 20 minutes before of after the Mass,,,"Fri Sep 9, 2022 5:57PM","{'lat': 16.4083753, 'lng': 120.5942647}",120.5942647,16.4083753
6,San Lorenzo Ruiz Parish,"07 Purok Bubon, Loakan Proper, Baguio City, Benguet","0961 689 4788, 0915 155 8099",,,,,"Wed Jul 12, 2023 10:39AM","{'lat': 16.3740002, 'lng': 120.6156748}",120.6156748,16.3740002
7,St. Aloysius Gonzaga Parish (SLU Parish),"A. Bonifacio Street, Baguio City, Benguet",(074) 442 2793,,,,,"Wed Jul 12, 2023 10:42AM","{'lat': 16.4168819, 'lng': 120.5961545}",120.5961545,16.4168819
8,St. John Bosco Parish,"Don Bosco (corner Malvar St.), Trancoville, Baguio City, Benguet",(074) 6611603,,,,,"Wed Jul 12, 2023 12:48PM","{'lat': 16.4261511, 'lng': 120.5978505}",120.5978505,16.4261511
9,St. Joseph the Husband of Mary Parish,"Irisan, Baguio City, Benguet",0929 611 9134,,,,,"Wed Jul 12, 2023 12:51PM","{'lat': 16.4210976, 'lng': 120.5595696}",120.5595696,16.4210976
10,St. Joseph The Worker Parish,"Pacdal Circle, Baguio City, Benguet",(074) 442-4021,,,,,"Sat Aug 6, 2022 6:13PM","{'lat': 16.4163158, 'lng': 120.6155933}",120.6155933,16.4163158
11,St. Louis University Parish,"A. Bonifacio Street, Baguio City, Benguet",(074) 442 2793,,,,,"Wed Jul 12, 2023 10:42AM","{'lat': 16.4168819, 'lng': 120.5961545}",120.5961545,16.4168819
12,St. Vincent Parish,"Naguilian Road, Baguio City, Benguet",0968 264 1696,,,,,"Sun Jun 4, 2023 9:53PM","{'lat': 16.413174, 'lng': 120.573782}",120.573782,16.413174
0,Birhen sa Kasilak Mindanao Shrine Parish,"Brgy. Bading, Butuan City, Agusan del Norte",0966 188 6523,,,,,"Mon May 8, 2023 7:35PM","{'lat': 8.9683166, 'lng': 125.534514}",125.534514,8.9683166
1,Christ the King Parish,"Tungao, Butuan City, Agusan del Norte",0909 770 4134,,,,,"Mon May 8, 2023 7:40PM","{'lat': 8.7786654, 'lng': 125.5677887}",125.5677887,8.7786654
2,Holy Cross Parish,"Ampayon, Butuan City, Agusan del Norte",(085) 817 0945,,,,,"Thu May 11, 2023 4:35PM","{'lat': 8.9591541, 'lng': 125.6150159}",125.6150159,8.9591541
3,Holy Redeemer Parish,"Langihan, Butuan City, Agusan del Norte",342-3402,,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 8.9559203, 'lng': 125.5357449}",125.5357449,8.9559203
4,Immaculate Conception Parish,"St. Joseph Subdivision, Butuan City, Agusan del Norte",342-6545,,,,,"Mon May 8, 2023 8:29PM","{'lat': 8.9372648, 'lng': 125.5318155}",125.5318155,8.9372648
5,Our Lady Of Fatima Parish,"Libertad, Butuan City, Agusan del Norte",,,30 minutes before every Mass,,,"Mon May 8, 2023 8:47PM","{'lat': 8.9444561, 'lng': 125.4946236}",125.4946236,8.9444561
6,Our Mother of Perpetual Help,"Brgy.23 Holy Redeemer, Butuan City, Agusan del Norte",0948 399 4997,,,,,"Sat Apr 3, 2021 10:32PM","{'lat': 8.958898999999999, 'lng': 125.528886}",125.528886,8.958898999999999
7,San Isidro Labrador Parish,"Brgy. Bonbon, Butuan City, Agusan del Norte",0909 676 9505,,,,,"Mon May 8, 2023 8:49PM","{'lat': 8.9153275, 'lng': 125.5055758}",125.5055758,8.9153275
8,San Vicente Ferrer Parish,"Brgy. San Vicente, Butuan City, Agusan del Norte",,,,,,"Sat Apr 3, 2021 10:44PM","{'lat': 8.907029099999999, 'lng': 125.5467055}",125.5467055,8.907029099999999
9,St. Ezekiel Moreno Parish,"Baan, Butuan City, Agusan del Norte",342-8228,,,,,"Mon May 8, 2023 9:03PM","{'lat': 8.952114603137478, 'lng': 125.5503957174769}",125.5503957174769,8.952114603137478
10,St. Joseph Cathedral,"E. Luna Street, Butuan City, Agusan del Norte",0906 086 9995,,Wed: 3:40PM-4:30PM and Fri: 3:30PM-4:30PM,,,"Mon May 8, 2023 9:09PM","{'lat': 8.9487692, 'lng': 125.5429651}",125.5429651,8.9487692
11,St. Jude Thaddeus Parish,"Alviola Village, Butuan City, Agusan del Norte",0963 340 1414,,,,,"Tue May 9, 2023 8:09AM","{'lat': 8.9518886, 'lng': 125.5877908}",125.5877908,8.9518886
12,Sto. Niño Diocesan Shrine,"Libertad, Butuan City, Agusan del Norte",(085) 342-8370; 226-5567,"Rev. Msgr. Ruel S. Lasco, PC",,,,"Tue Apr 13, 2021 6:09PM","{'lat': 8.9444561, 'lng': 125.4946236}",125.4946236,8.9444561
0,Carmelite Monastery,"Seminary Hill, Camaman-an, Cagayan De Oro City, Misamis Oriental",,,,,,"Wed Sep 6, 2023 8:40PM","{'lat': 8.471453, 'lng': 124.6649124}",124.6649124,8.471453
1,Chair of St. Peter The Apostles Parish,"Parola , Macabalan, Cagayan De Oro City, Misamis Oriental",0935 233 4161,,,,,"Wed Sep 6, 2023 8:43PM","{'lat': 8.5057596, 'lng': 124.6612856}",124.6612856,8.5057596
2,Holy Cross Parish,"Balulang, Cagayan De Oro City, Misamis Oriental",,,,,,"Wed Sep 6, 2023 8:50PM","{'lat': 8.4414173, 'lng': 124.6275706}",124.6275706,8.4414173
3,Holy Rosary Parish,"Agusan, Cagayan De Oro City, Misamis Oriental",(0882) 855-3396,,,,,"Thu Sep 7, 2023 9:28PM","{'lat': 8.4850703, 'lng': 124.749218}",124.749218,8.4850703
4,Immaculate Conception Parish,"Bulua, Cagayan De Oro City, Misamis Oriental",,,,,,"Thu Sep 7, 2023 9:53PM","{'lat': 8.5078138, 'lng': 124.6165033}",124.6165033,8.5078138
5,Immaculate Conception Parish,"Aluba Subd., Mandumol, Macasandig, Cagayan De Oro City, Misamis Oriental",0936-745-7211 or 857-3931,,After Daily Mass,,,"Wed Sep 6, 2023 8:59PM","{'lat': 8.456892700000001, 'lng': 124.6465193}",124.6465193,8.456892700000001
6,Jesus Nazareno Parish,"Claro M. Recto Avenue, Cagayan De Oro City, Misamis Oriental",,,,,,"Thu Dec 15, 2022 8:59PM","{'lat': 8.4774312, 'lng': 124.6766477}",124.6766477,8.4774312
7,Nuestra Señora Virgen del Rosario Consolacion Parish,"Consolacion, Cagayan De Oro City, Misamis Oriental",,,,,,"Sat Mar 27, 2021 4:20PM","{'lat': 8.491774399999999, 'lng': 124.648318}",124.648318,8.491774399999999
8,Our Lady of Fatima Parish,"Hayes Street, Barangay Camaman-an, Cagayan De Oro City, Misamis Oriental",(088) 857 3802,,,,,"Thu Sep 7, 2023 8:52PM","{'lat': 8.47372, 'lng': 124.6617633}",124.6617633,8.47372
9,Our Lady of Fatima Parish Church,"Lower Balulang, Cagayan De Oro City, Misamis Oriental",,,,,Chapel Sunday Mass,"Sun Sep 10, 2023 8:18AM","{'lat': 8.4414173, 'lng': 124.6275706}",124.6275706,8.4414173
10,Our Lady of Guadalupe Shrine,"Tablon, Cagayan De Oro City, Misamis Oriental",,,,,,"Fri Sep 8, 2023 9:59PM","{'lat': 8.4655081, 'lng': 124.7354031}",124.7354031,8.4655081
11,Our Lady Of Miraculous Medal Parish Church,"Lumbia, Cagayan De Oro City, Misamis Oriental",0967 394 9823,,,,,"Fri Sep 8, 2023 9:21PM","{'lat': 8.4106179, 'lng': 124.5860608}",124.5860608,8.4106179
12,Our Lady of Mt. Carmel Parish Church,"J.V Seriña Street, Carmen, Cagayan De Oro City, Misamis Oriental",,,,,,"Thu Sep 7, 2023 9:45PM","{'lat': 8.4765653, 'lng': 124.6381513}",124.6381513,8.4765653
13,Our Lady of the Angels Chapel,"San Isidro Village, Kauswagan, Cagayan De Oro City, Misamis Oriental",,,,,Franciscan Friars of the Immaculate,"Sat Sep 9, 2023 1:51PM","{'lat': 8.4972026, 'lng': 124.6397771}",124.6397771,8.4972026
14,Sacred Heart of Jesus Chaplaincy,"Zone 2 Canitoan, Cagayan De Oro City, Misamis Oriental",,,,,,"Fri Sep 8, 2023 9:38PM","{'lat': 8.4799997, 'lng': 124.5915966}",124.5915966,8.4799997
15,Sacred Heart of Jesus Parish,"Reyes Village Subd., Bugo, Cagayan De Oro City, Misamis Oriental",0926 136 7195,,,,,"Fri Sep 8, 2023 9:07PM","{'lat': 8.5003405, 'lng': 124.7823648}",124.7823648,8.5003405
16,Saint Ignatius de Loyola Parish,"Camp Evangelista Patag, Cagayan De Oro City, Misamis Oriental",,,,,,"Fri Sep 8, 2023 10:25PM","{'lat': 8.4851979, 'lng': 124.6208382}",124.6208382,8.4851979
17,Saint Joseph the Worker Parish,"P.N. Roa Subd., Calaanan, Canitoan, Cagayan De Oro City, Misamis Oriental",,,,,,"Fri Sep 8, 2023 11:08AM","{'lat': 8.4624441, 'lng': 124.6065022}",124.6065022,8.4624441
18,San Antonio de Padua Parish,"12th St., Nazareth, Cagayan De Oro City, Misamis Oriental",(088) 857 1953,,,,,"Thu Sep 7, 2023 8:56PM","{'lat': 8.4706381, 'lng': 124.6497448}",124.6497448,8.4706381
19,San Guillermo de Maleval Parish,"Iponan, Cagayan De Oro City, Misamis Oriental",,,,,,"Sat Mar 27, 2021 4:27PM","{'lat': 8.495492, 'lng': 124.5998996}",124.5998996,8.495492
20,San Isidro Labrador Parish,"Gusa, Cagayan De Oro City, Misamis Oriental",0917 122 3293,,First Friday: 7PM,,First Friday Mass,"Fri Sep 8, 2023 9:25PM","{'lat': 8.468476599999999, 'lng': 124.6828861}",124.6828861,8.468476599999999
21,San Isidro Labrador Parish (Eco Church),"Eagle Corner Harpy St. ,Kauswagan, Cagayan De Oro City, Misamis Oriental","(088) 881-8794, 0967 946 8208",,,,,"Mon Jul 10, 2023 5:21PM","{'lat': 8.4941966, 'lng': 124.6358702}",124.6358702,8.4941966
22,San Lorenzo Ruiz Parish,"Mega Heights Subdivision, Phase III, Gusa, Cagayan De Oro City, Misamis Oriental",0917 720 3566,,,,,"Fri Sep 8, 2023 8:57PM","{'lat': 8.467021599999999, 'lng': 124.6727905}",124.6727905,8.467021599999999
23,San Nicolas De Tolentino Parish,"Puntod, Cagayan De Oro City, Misamis Oriental",(088) 880-1263,,,,,"Fri Sep 8, 2023 9:48PM","{'lat': 8.4955996, 'lng': 124.6566156}",124.6566156,8.4955996
24,San Vicente Ferrer Parish,"Cugman, Cagayan De Oro City, Misamis Oriental",,,,,,"Fri Sep 8, 2023 9:29PM","{'lat': 8.451334899999999, 'lng': 124.6911804}",124.6911804,8.451334899999999
25,Santo Niño de Oro Parish,"Brgy 31, Pres.Garcia St. Sto.Niño Cogon, Cagayan De Oro City, Misamis Oriental",,,,,,"Fri Sep 8, 2023 9:54PM","{'lat': 8.4760811, 'lng': 124.6540574}",124.6540574,8.4760811
26,Santuario Eucaristico - Sacred Heart Parish,"Rodolfo N. Pelaez Blvd, Cagayan De Oro City, Misamis Oriental",09979615567,"Rev. Fr. Kenny Joe Parlingayan, SSS",,,Also known as the Archdiocesan Shrine of the Holy Eucharist,"Sun Mar 21, 2021 10:02PM","{'lat': 8.4972473, 'lng': 124.6415462}",124.6415462,8.4972473
27,St. Augustine Metropolitan Cathedral,"Barangay 1, Cagayan De Oro City, Misamis Oriental",0935 252 7853,,WEDNESDAY & FRIDAY 4:30PM-5:00PM,,,"Thu Sep 7, 2023 9:12PM","{'lat': 8.4743118, 'lng': 124.6461119}",124.6461119,8.4743118
28,St. Francis Xavier Parish,"Pueblo de Oro, Upper Carmen, Cagayan De Oro City, Misamis Oriental",0917 777 0246,,,,,"Thu Sep 7, 2023 9:17PM","{'lat': 8.4561427, 'lng': 124.6230747}",124.6230747,8.4561427
29,St. John Marie Vianney Parish,"Xavier Heights, Cagayan De Oro City, Misamis Oriental",0967 391 3727,,,,,"Fri Sep 8, 2023 10:58AM","{'lat': 8.4396243, 'lng': 124.621032}",124.621032,8.4396243
0,Ang Muling Pagkabuhay ng Ating Panginoon Parish,"Phase 10-A Pkg. 2, Bagong Silang, Caloocan City, Metro Manila",951-5342,,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 14.7767799, 'lng': 121.0345446}",121.0345446,14.7767799
1,Birhen ng Lourdes Parish,"Malolos Ave., Bagong Barrio, Caloocan City, Metro Manila",363-2681,"Rev. Fr. Alberto G. Cahilig, OMI",By Mass Confession on Seasonal Occasions,,,"Tue Sep 3, 2013 2:30AM","{'lat': 14.6648211, 'lng': 120.9967965}",120.9967965,14.6648211
2,Christ the King Parish,"Ninang Lydia Street.,BF Homes, Novaliches, Caloocan City, Metro Manila",289308764,,,,ctkpbfsocomm@gmail.com,"Mon Nov 28, 2022 2:16PM","{'lat': 14.7328665, 'lng': 121.0239025}",121.0239025,14.7328665
3,Epiphany of the Lord Parish,"San Isidro St., Camarin Rd., Kiko, Camarin, Caloocan City, Metro Manila",(02) 8569-31-71 o 0915-658-89-55,Rev. Fr. Alvin Balean,Anytime upon request,,,"Mon Nov 28, 2022 2:34PM","{'lat': 14.6919923, 'lng': 121.083698}",121.083698,14.6919923
4,Hearts of Jesus and Mary Parish,"L. Nadurata Street between 7th and 8th Avenue, Grace Park, Caloocan City, Metro Manila",283620182,,,,,"Sun Mar 28, 2021 3:16PM","{'lat': 14.6477506, 'lng': 120.9834592}",120.9834592,14.6477506
5,Holy Cross Parish,"Mangga corner Macabud Streets, Amparo Village, Caloocan City, Metro Manila",283661723,,,,,"Sun Apr 28, 2024 9:04PM","{'lat': 14.7533596, 'lng': 121.0806198}",121.0806198,14.7533596
6,Holy Spirit Parish,"Narra St., Pangarap Village, Caloocan City, Metro Manila",0963 308 2434,,,,,"Mon Nov 28, 2022 2:49PM","{'lat': 14.6348767, 'lng': 120.9791062}",120.9791062,14.6348767
7,Ina ng Laging Saklolo Parish,"Phase 7,Bagong Silang, Caloocan City, Metro Manila",,,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 14.7764296, 'lng': 121.0584876}",121.0584876,14.7764296
8,Mary Help of Christian Parish,"J P Rizal Street, Maypajo, Caloocan City, Metro Manila",8288-7284,,,,Devotion Masses,"Sat Dec 3, 2022 11:23PM","{'lat': 14.6380849, 'lng': 120.9733}",120.9733,14.6380849
9,"Mary, Mother of the Church Parish","Cielito Homes, Zabarte Road, Camarin, Caloocan City, Metro Manila",0955 788 7344,,,,,"Sat Nov 12, 2022 11:05PM","{'lat': 14.7478394, 'lng': 121.0499004}",121.0499004,14.7478394
10,Mother of the Redeemer Parish,"Deparo Road, Novaliches, Caloocan City, Metro Manila",8-937-6004,,,,,"Mon Dec 5, 2022 1:13PM","{'lat': 14.7471709, 'lng': 121.0210386}",121.0210386,14.7471709
